feature,importance_mean,importance_std
zipcode_03062,0.0,0.0
zipcode_03101,0.0,0.0
zipcode_06026,0.0,0.0
zipcode_06029,0.0,0.0
zipcode_06037,0.0,0.0
zipcode_06107,0.0,0.0
zipcode_06401,0.0,0.0
zipcode_06405,0.0,0.0
zipcode_06410,0.0,0.0
zipcode_06413,0.0,0.0
zipcode_06417,0.0,0.0
zipcode_06418,0.0,0.0
zipcode_06419,0.0,0.0
zipcode_06437,0.0,0.0
zipcode_06443,0.0,0.0
zipcode_06450,0.0,0.0
zipcode_06460,0.0,0.0
zipcode_06470,0.0,0.0
zipcode_06471,0.0,0.0
zipcode_06473,0.0,0.0
zipcode_06475,0.0,0.0
zipcode_06477,0.0,0.0
zipcode_06478,0.0,0.0
zipcode_06484,0.0,0.0
zipcode_06488,0.0,0.0
zipcode_06492,0.0,0.0
zipcode_06510,0.0,0.0
zipcode_06514,0.0,0.0
zipcode_06516,0.0,0.0
zipcode_06524,0.0,0.0
zipcode_06604,0.0,0.0
zipcode_06606,0.0,0.0
zipcode_06611,0.0,0.0
zipcode_06614,0.0,0.0
zipcode_06615,0.0,0.0
zipcode_06702,0.0,0.0
zipcode_06716,0.0,0.0
zipcode_06762,0.0,0.0
zipcode_06770,0.0,0.0
zipcode_06776,0.0,0.0
zipcode_06779,0.0,0.0
zipcode_06810,0.0,0.0
zipcode_06824,0.0,0.0
zipcode_06850,0.0,0.0
zipcode_06902,0.0,0.0
zipcode_07458,0.0,0.0
zipcode_10475,0.0,0.0
zipcode_12563,0.0,0.0
zipcode_12601,0.0,0.0
zipcode_56055,0.0,0.0
age,-1.8359106445317592,30.3911949261716
mileage_num,220.81198242187457,177.3185007047675
